72.4	1.05	5.38e-2
91.5	1.04	3.32e-2
108.5	1.03	2.33e-2
114.0	1.03	2.10e-2
132.8	1.02	1.52e-2
151.1	1.02	1.15e-2
183.3	1.01	7.58e-3
192.6	1.01	6.80e-3
220.1	1.01	5.07e-3
277.0	1.01	3.06e-3
311.7	1.01	2.36e-3
392.4	1.00	1.40e-3
452.2	1.00	1.01e-3
511.3	1.00	7.65e-4
524.9	1.00	7.21e-4
572.8	1.00	5.91e-4
637.4	1.00	4.63e-4
676.8	1.00	4.02e-4
705.0	1.00	3.66e-4
776.2	1.00	2.93e-4
851.5	1.00	2.36e-4
929.7	1.00	1.92e-4
1011.7	1.00	1.58e-4
1041.0	1.00	1.48e-4
1188.0	1.00	1.09e-4
1253.6	1.00	9.60e-5
1486.7	1.00	6.41e-5
1740.0	1.00	4.43e-5
2042.4	1.00	3.03e-5
2293.2	1.00	2.30e-5
2622.4	1.00	1.66e-5
2984.3	1.00	1.22e-5
3691.7	1.00	7.25e-6
4510.8	1.00	4.46e-6
4952.2	1.00	3.56e-6
5414.7	1.00	2.88e-6
5898.8	1.00	2.34e-6
6930.3	1.00	1.59e-6
7478.2	1.00	1.33e-6
8047.8	1.00	1.11e-6
9886.4	1.00	6.76e-7
14988.0	1.00	2.44e-7
17479.0	1.00	1.67e-7
21177.0	1.00	1.03e-7
25271.0	1.00	6.67e-8
29779.0	1.00	4.46e-8
