 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   1,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  6.78866E-16  4.32151E-16  5.49197E-16  2.22214E-18  1.0E-07
   2.00000E+01  3.24909E-16  1.45735E-16  2.18494E-16  1.64006E-18  1.1E-07
   3.00000E+01  1.97053E-16  6.75437E-17  1.09757E-16  5.42584E-17  1.0E-07
   4.00000E+01  1.38542E-16  3.83315E-17  6.58121E-17  7.99995E-17  2.4E-07
   5.00000E+01  1.06837E-16  2.50765E-17  4.48116E-17  8.73102E-17  1.8E-07
   6.00000E+01  8.70038E-17  1.78783E-17  3.30063E-17  8.80413E-17  3.5E-07
   7.00000E+01  7.30860E-17  1.35009E-17  2.56025E-17  8.60745E-17  3.1E-07
   8.00000E+01  6.25949E-17  1.06163E-17  2.05917E-17  8.29758E-17  4.0E-07
   9.00000E+01  5.46521E-17  8.60513E-18  1.70107E-17  7.94497E-17  7.6E-07
   1.00000E+02  4.84185E-17  7.14205E-18  1.43434E-17  7.58372E-17  9.8E-07
   1.20000E+02  3.93373E-17  5.21467E-18  1.07168E-17  6.87800E-17  2.1E-05
   1.40000E+02  3.30507E-17  4.02877E-18  8.40952E-18  6.24386E-17  8.6E-05
   1.60000E+02  2.84158E-17  3.23020E-18  6.82226E-18  5.70025E-17  1.8E-04
   1.80000E+02  2.48507E-17  2.66048E-18  5.67291E-18  5.23695E-17  1.4E-05
   2.00000E+02  2.20198E-17  2.23691E-18  4.80852E-18  4.84025E-17  1.5E-05
   2.50000E+02  1.69592E-17  1.54840E-18  3.38118E-18  4.06548E-17  1.0E-04
   3.00000E+02  1.35684E-17  1.14003E-18  2.51921E-18  3.50312E-17  1.6E-04
   3.50000E+02  1.11998E-17  8.74973E-19  1.94907E-18  3.07753E-17  1.1E-04
   4.00000E+02  9.51380E-18  6.95753E-19  1.56097E-18  2.74454E-17  3.6E-05
   4.50000E+02  8.25609E-18  5.68244E-19  1.28314E-18  2.47693E-17  9.6E-05
   5.00000E+02  7.28383E-18  4.73941E-19  1.07645E-18  2.25718E-17  1.5E-04
   6.00000E+02  5.88254E-18  3.45851E-19  7.93392E-19  1.91764E-17  1.2E-04
   7.00000E+02  4.92431E-18  2.64661E-19  6.12169E-19  1.66745E-17  3.0E-04
   8.00000E+02  4.22953E-18  2.09709E-19  4.88486E-19  1.47539E-17  3.5E-05
   9.00000E+02  3.70359E-18  1.70660E-19  3.99935E-19  1.32327E-17  1.7E-04
   1.00000E+03  3.29215E-18  1.41848E-19  3.34170E-19  1.19979E-17  7.0E-05
   1.20000E+03  2.69089E-18  1.02866E-19  2.44487E-19  1.01147E-17  1.2E-04
   1.40000E+03  2.27343E-18  7.82931E-20  1.87415E-19  8.74577E-18  8.0E-03
   1.60000E+03  1.96712E-18  6.17493E-20  1.48699E-19  7.70549E-18  8.9E-03
   1.80000E+03  1.73300E-18  5.00500E-20  1.21138E-19  6.88802E-18  6.7E-03
   2.00000E+03  1.54838E-18  4.14548E-20  1.00778E-19  6.22861E-18  9.0E-03
   2.50000E+03  1.22224E-18  2.77723E-20  6.81188E-20  5.02902E-18  6.0E-03
   3.00000E+03  1.00937E-18  1.99922E-20  4.93736E-20  4.21986E-18  7.1E-03
   3.50000E+03  8.59655E-19  1.51279E-20  3.75678E-20  3.63704E-18  7.9E-03
   4.00000E+03  7.48690E-19  1.18749E-20  2.96255E-20  3.19715E-18  1.0E-02
   4.50000E+03  6.63190E-19  9.58733E-21  2.40124E-20  2.85333E-18  7.2E-03
   5.00000E+03  5.95311E-19  7.91462E-21  1.98906E-20  2.57716E-18  7.4E-03
   6.00000E+03  4.94389E-19  5.67635E-21  1.43466E-20  2.16102E-18  3.4E-02
   7.00000E+03  4.22981E-19  4.28332E-21  1.08757E-20  1.86232E-18  4.1E-02
   8.00000E+03  3.69811E-19  3.35508E-21  8.55166E-21  1.63747E-18  2.5E-02
   9.00000E+03  3.28693E-19  2.70422E-21  6.91548E-21  1.46207E-18  2.6E-02
   1.00000E+04  2.95951E-19  2.22946E-21  5.71783E-21  1.32142E-18  2.1E-02
   1.20000E+04  2.41432E-19  1.59555E-21  4.11176E-21  1.10987E-18  2.9E-06
   1.40000E+04  2.08055E-19  1.20262E-21  3.11152E-21  9.58329E-19  3.4E-06
   1.60000E+04  1.83037E-19  9.41369E-22  2.44381E-21  8.44420E-19  4.8E-06
   1.80000E+04  1.63588E-19  7.58504E-22  1.97484E-21  7.55669E-19  4.6E-06
   2.00000E+04  1.48035E-19  6.25295E-22  1.63221E-21  6.84568E-19  4.3E-06
   2.50000E+04  1.20055E-19  4.15568E-22  1.09059E-21  5.56355E-19  4.8E-06
