-1.00E-06	3.43E-10
-9.62E-07	2.72E-11
-9.23E-07	-1.52E-10
-8.84E-07	1.24E-10
-8.45E-07	3.63E-10
-8.06E-07	1.86E-10
-7.67E-07	3.82E-10
-7.28E-07	7.70E-11
-6.89E-07	-1.55E-10
-6.50E-07	-2.52E-10
-6.11E-07	-7.70E-11
-5.72E-07	-2.95E-10
-5.32E-07	-3.98E-10
-4.93E-07	-2.03E-11
-4.54E-07	3.25E-10
-4.15E-07	8.48E-10
-3.76E-07	1.24E-09
-3.37E-07	1.69E-09
-2.98E-07	1.98E-09
-2.59E-07	2.15E-09
-2.20E-07	2.22E-09
-1.81E-07	1.96E-09
-1.42E-07	3.68E-10
-1.03E-07	-3.48E-09
-6.37E-08	-7.00E-09
-2.46E-08	-9.11E-09
1.44E-08	-9.10E-09
5.35E-08	-5.66E-09
9.25E-08	-1.06E-09
1.32E-07	1.31E-09
1.71E-07	1.81E-09
2.10E-07	1.99E-09
2.49E-07	2.08E-09
2.88E-07	1.97E-09
3.27E-07	1.35E-09
3.66E-07	1.14E-09
4.05E-07	8.53E-10
4.44E-07	6.07E-10
4.83E-07	6.98E-10
5.22E-07	1.96E-10
5.61E-07	1.60E-10
6.00E-07	3.59E-10
6.39E-07	-1.61E-10
6.78E-07	-3.51E-10
7.18E-07	1.26E-11
7.57E-07	3.73E-11
7.96E-07	-1.63E-10
8.35E-07	2.50E-10
8.74E-07	5.16E-10
9.13E-07	-2.44E-10
9.52E-07	-4.99E-10
