 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-03  4.57402E-09  8.46637E-08  3.13699E-08  2.65675E-13  1.03426E-13
  8.000E-03  4.87388E-09  8.46636E-08  3.13699E-08  2.74245E-13  1.06763E-13
  8.250E-03  5.18326E-09  8.46635E-08  3.13699E-08  2.82815E-13  1.10099E-13
  8.500E-03  5.50215E-09  8.46634E-08  3.13699E-08  2.91385E-13  1.13435E-13
  8.750E-03  5.83057E-09  8.46633E-08  3.13699E-08  2.99955E-13  1.16771E-13
  9.000E-03  6.16850E-09  8.46632E-08  3.13699E-08  3.08524E-13  1.20108E-13
  9.250E-03  6.51596E-09  8.46631E-08  3.13699E-08  3.17094E-13  1.23444E-13
  9.500E-03  6.87293E-09  8.46630E-08  3.13699E-08  3.25664E-13  1.26780E-13
  9.750E-03  7.23942E-09  8.46629E-08  3.13699E-08  3.34233E-13  1.30117E-13
  1.000E-02  7.61544E-09  8.46628E-08  3.13699E-08  3.42803E-13  1.33453E-13
  1.250E-02  1.18991E-08  8.46616E-08  3.13698E-08  4.28498E-13  1.66816E-13
  1.500E-02  1.71347E-08  8.46601E-08  3.13697E-08  5.14188E-13  2.00179E-13
  1.750E-02  2.33223E-08  8.46583E-08  3.13696E-08  5.99874E-13  2.33541E-13
  2.000E-02  3.04617E-08  8.46563E-08  3.13695E-08  6.85553E-13  2.66903E-13
  2.250E-02  3.85531E-08  8.46540E-08  3.13694E-08  7.71227E-13  3.00265E-13
  2.500E-02  4.75965E-08  8.46515E-08  3.13693E-08  8.56892E-13  3.33627E-13
  2.750E-02  5.75917E-08  8.46486E-08  3.13692E-08  9.42550E-13  3.66988E-13
  3.000E-02  6.85389E-08  8.46455E-08  3.13690E-08  1.02820E-12  4.00349E-13
  3.250E-02  8.04380E-08  8.46422E-08  3.13689E-08  1.11384E-12  4.33709E-13
  3.500E-02  9.32891E-08  8.46385E-08  3.13687E-08  1.19946E-12  4.67068E-13
  3.750E-02  1.07092E-07  8.46346E-08  3.13685E-08  1.28508E-12  5.00428E-13
  4.000E-02  1.21847E-07  8.46304E-08  3.13683E-08  1.37068E-12  5.33786E-13
  4.250E-02  1.37554E-07  8.46260E-08  3.13681E-08  1.45628E-12  5.67144E-13
  4.500E-02  1.54213E-07  8.46213E-08  3.13678E-08  1.54185E-12  6.00501E-13
  4.750E-02  1.71823E-07  8.46163E-08  3.13676E-08  1.62741E-12  6.33858E-13
  5.000E-02  1.90386E-07  8.46110E-08  3.13673E-08  1.71296E-12  6.67213E-13
  5.250E-02  2.09900E-07  8.46055E-08  3.13671E-08  1.79849E-12  7.00568E-13
  5.500E-02  2.30367E-07  8.45997E-08  3.13668E-08  1.88400E-12  7.33922E-13
  5.750E-02  2.51785E-07  8.45936E-08  3.13665E-08  1.96950E-12  7.67275E-13
  6.000E-02  2.74156E-07  8.45873E-08  3.13662E-08  2.05497E-12  8.00627E-13
  6.250E-02  2.97478E-07  8.45807E-08  3.13659E-08  2.14043E-12  8.33979E-13
  6.500E-02  3.21752E-07  8.45738E-08  3.13655E-08  2.22586E-12  8.67329E-13
  6.750E-02  3.46978E-07  8.45667E-08  3.13652E-08  2.31128E-12  9.00678E-13
  7.000E-02  3.73156E-07  8.45593E-08  3.13648E-08  2.39667E-12  9.34026E-13
  7.250E-02  4.00286E-07  8.45516E-08  3.13645E-08  2.48204E-12  9.67373E-13
  7.500E-02  4.28368E-07  8.45437E-08  3.13641E-08  2.56738E-12  1.00072E-12
  7.750E-02  4.57402E-07  8.45355E-08  3.13637E-08  2.65270E-12  1.03406E-12
  8.000E-02  4.87388E-07  8.45270E-08  3.13633E-08  2.73800E-12  1.06741E-12
  8.250E-02  5.18325E-07  8.45182E-08  3.13628E-08  2.82327E-12  1.10075E-12
  8.500E-02  5.50215E-07  8.45092E-08  3.13624E-08  2.90851E-12  1.13409E-12
  8.750E-02  5.83057E-07  8.45000E-08  3.13619E-08  2.99372E-12  1.16743E-12
  9.000E-02  6.16850E-07  8.44904E-08  3.13615E-08  3.07891E-12  1.20077E-12
  9.250E-02  6.51596E-07  8.44806E-08  3.13610E-08  3.16406E-12  1.23410E-12
  9.500E-02  6.87293E-07  8.44705E-08  3.13605E-08  3.24919E-12  1.26744E-12
  9.750E-02  7.23942E-07  8.44602E-08  3.13600E-08  3.33428E-12  1.30077E-12
  1.000E-01  7.61543E-07  8.44496E-08  3.13595E-08  3.41934E-12  1.33410E-12
  1.250E-01  1.18991E-06  8.43290E-08  3.13536E-08  4.26804E-12  1.66732E-12
  1.500E-01  1.71347E-06  8.41821E-08  3.13464E-08  5.11267E-12  2.00034E-12
  1.750E-01  2.33223E-06  8.40091E-08  3.13379E-08  5.95245E-12  2.33312E-12
  2.000E-01  3.04617E-06  8.38106E-08  3.13280E-08  6.78662E-12  2.66562E-12
  2.250E-01  3.85531E-06  8.35868E-08  3.13169E-08  7.61443E-12  2.99779E-12
  2.500E-01  4.75964E-06  8.33382E-08  3.13045E-08  8.43516E-12  3.32960E-12
  2.750E-01  5.75916E-06  8.30653E-08  3.12908E-08  9.24810E-12  3.66101E-12
  3.000E-01  6.85388E-06  8.27687E-08  3.12758E-08  1.00526E-11  3.99198E-12
  3.250E-01  8.04378E-06  8.24488E-08  3.12595E-08  1.08479E-11  4.32246E-12
  3.500E-01  9.32888E-06  8.21064E-08  3.12420E-08  1.16336E-11  4.65243E-12
  3.750E-01  1.07092E-05  8.17420E-08  3.12231E-08  1.24089E-11  4.98184E-12
  4.000E-01  1.21846E-05  8.13563E-08  3.12030E-08  1.31733E-11  5.31065E-12
  4.250E-01  1.37553E-05  8.09500E-08  3.11816E-08  1.39262E-11  5.63882E-12
  4.500E-01  1.54212E-05  8.05239E-08  3.11590E-08  1.46673E-11  5.96633E-12
  4.750E-01  1.71822E-05  8.00787E-08  3.11351E-08  1.53960E-11  6.29312E-12
  5.000E-01  1.90385E-05  7.96151E-08  3.11099E-08  1.61118E-11  6.61916E-12
  5.250E-01  2.09899E-05  7.91339E-08  3.10835E-08  1.68145E-11  6.94441E-12
  5.500E-01  2.30365E-05  7.86359E-08  3.10559E-08  1.75036E-11  7.26884E-12
  5.750E-01  2.51783E-05  7.81219E-08  3.10270E-08  1.81788E-11  7.59242E-12
  6.000E-01  2.74153E-05  7.75926E-08  3.09970E-08  1.88398E-11  7.91509E-12
  6.250E-01  2.97475E-05  7.70489E-08  3.09657E-08  1.94863E-11  8.23684E-12
  6.500E-01  3.21749E-05  7.64916E-08  3.09332E-08  2.01181E-11  8.55762E-12
  6.750E-01  3.46974E-05  7.59215E-08  3.08995E-08  2.07351E-11  8.87739E-12
  7.000E-01  3.73152E-05  7.53392E-08  3.08646E-08  2.13370E-11  9.19614E-12
  7.250E-01  4.00281E-05  7.47457E-08  3.08286E-08  2.19236E-11  9.51381E-12
  7.500E-01  4.28362E-05  7.41417E-08  3.07913E-08  2.24950E-11  9.83038E-12
  7.750E-01  4.57395E-05  7.35279E-08  3.07529E-08  2.30510E-11  1.01458E-11
  8.000E-01  4.87380E-05  7.29051E-08  3.07134E-08  2.35915E-11  1.04601E-11
  8.250E-01  5.18317E-05  7.22740E-08  3.06727E-08  2.41166E-11  1.07731E-11
  8.500E-01  5.50205E-05  7.16353E-08  3.06309E-08  2.46261E-11  1.10849E-11
  8.750E-01  5.83045E-05  7.09897E-08  3.05880E-08  2.51202E-11  1.13955E-11
  9.000E-01  6.16838E-05  7.03379E-08  3.05439E-08  2.55989E-11  1.17048E-11
  9.250E-01  6.51582E-05  6.96805E-08  3.04988E-08  2.60621E-11  1.20127E-11
  9.500E-01  6.87277E-05  6.90182E-08  3.04525E-08  2.65101E-11  1.23193E-11
  9.750E-01  7.23925E-05  6.83516E-08  3.04052E-08  2.69428E-11  1.26245E-11
  1.000E+00  7.61524E-05  6.76812E-08  3.03568E-08  2.73604E-11  1.29283E-11
  1.100E+00  9.21439E-05  6.49732E-08  3.01528E-08  2.88823E-11  1.41287E-11
  1.200E+00  1.09658E-04  6.22468E-08  2.99327E-08  3.01743E-11  1.53043E-11
  1.300E+00  1.28695E-04  5.95289E-08  2.96971E-08  3.12484E-11  1.64535E-11
  1.400E+00  1.49255E-04  5.68415E-08  2.94470E-08  3.21181E-11  1.75749E-11
  1.500E+00  1.71338E-04  5.42017E-08  2.91831E-08  3.27975E-11  1.86672E-11
  1.600E+00  1.94942E-04  5.16224E-08  2.89063E-08  3.33010E-11  1.97291E-11
  1.700E+00  2.20070E-04  4.91133E-08  2.86174E-08  3.36426E-11  2.07597E-11
  1.800E+00  2.46720E-04  4.66810E-08  2.83172E-08  3.38356E-11  2.17581E-11
  1.900E+00  2.74892E-04  4.43300E-08  2.80066E-08  3.38930E-11  2.27235E-11
  2.000E+00  3.04586E-04  4.20630E-08  2.76863E-08  3.38267E-11  2.36553E-11
  2.100E+00  3.35803E-04  3.98810E-08  2.73572E-08  3.36480E-11  2.45529E-11
  2.200E+00  3.68542E-04  3.77841E-08  2.70201E-08  3.33673E-11  2.54161E-11
  2.300E+00  4.02802E-04  3.57717E-08  2.66757E-08  3.29944E-11  2.62444E-11
  2.400E+00  4.38585E-04  3.38422E-08  2.63247E-08  3.25381E-11  2.70377E-11
  2.500E+00  4.75889E-04  3.19940E-08  2.59680E-08  3.20069E-11  2.77960E-11
  2.600E+00  5.14715E-04  3.02247E-08  2.56060E-08  3.14082E-11  2.85191E-11
  2.700E+00  5.55063E-04  2.85322E-08  2.52397E-08  3.07492E-11  2.92073E-11
  2.800E+00  5.96931E-04  2.69137E-08  2.48694E-08  3.00364E-11  2.98606E-11
  2.900E+00  6.40321E-04  2.53669E-08  2.44960E-08  2.92757E-11  3.04794E-11
  3.000E+00  6.85233E-04  2.38890E-08  2.41198E-08  2.84728E-11  3.10638E-11
  3.100E+00  7.31665E-04  2.24774E-08  2.37416E-08  2.76327E-11  3.16142E-11
  3.200E+00  7.79618E-04  2.11295E-08  2.33618E-08  2.67602E-11  3.21311E-11
  3.300E+00  8.29092E-04  1.98428E-08  2.29808E-08  2.58596E-11  3.26148E-11
  3.400E+00  8.80086E-04  1.86147E-08  2.25993E-08  2.49349E-11  3.30660E-11
  3.500E+00  9.32601E-04  1.74428E-08  2.22175E-08  2.39899E-11  3.34851E-11
  3.600E+00  9.86636E-04  1.63247E-08  2.18359E-08  2.30279E-11  3.38726E-11
  3.700E+00  1.04219E-03  1.52583E-08  2.14549E-08  2.20521E-11  3.42293E-11
  3.800E+00  1.09927E-03  1.42411E-08  2.10748E-08  2.10654E-11  3.45556E-11
  3.900E+00  1.15786E-03  1.32712E-08  2.06961E-08  2.00705E-11  3.48523E-11
  4.000E+00  1.21797E-03  1.23465E-08  2.03189E-08  1.90698E-11  3.51200E-11
  4.100E+00  1.27961E-03  1.14649E-08  1.99436E-08  1.80655E-11  3.53594E-11
  4.200E+00  1.34276E-03  1.06247E-08  1.95705E-08  1.70597E-11  3.55711E-11
  4.300E+00  1.40743E-03  9.82396E-09  1.91998E-08  1.60544E-11  3.57559E-11
  4.400E+00  1.47362E-03  9.06099E-09  1.88317E-08  1.50512E-11  3.59144E-11
  4.500E+00  1.54133E-03  8.33411E-09  1.84665E-08  1.40517E-11  3.60475E-11
  4.600E+00  1.61056E-03  7.64173E-09  1.81043E-08  1.30573E-11  3.61556E-11
  4.700E+00  1.68131E-03  6.98231E-09  1.77453E-08  1.20694E-11  3.62397E-11
  4.800E+00  1.75357E-03  6.35439E-09  1.73897E-08  1.10892E-11  3.63003E-11
  4.900E+00  1.82735E-03  5.75657E-09  1.70377E-08  1.01177E-11  3.63383E-11
  5.000E+00  1.90265E-03  5.18750E-09  1.66893E-08  9.15581E-12  3.63542E-11
  5.100E+00  1.97947E-03  4.64591E-09  1.63446E-08  8.20449E-12  3.63488E-11
  5.200E+00  2.05780E-03  4.13056E-09  1.60039E-08  7.26450E-12  3.63227E-11
  5.300E+00  2.13765E-03  3.64029E-09  1.56671E-08  6.33652E-12  3.62767E-11
  5.400E+00  2.21902E-03  3.17396E-09  1.53344E-08  5.42116E-12  3.62115E-11
  5.500E+00  2.30190E-03  2.73050E-09  1.50058E-08  4.51897E-12  3.61275E-11
  5.600E+00  2.38630E-03  2.30889E-09  1.46814E-08  3.63041E-12  3.60256E-11
  5.700E+00  2.47222E-03  1.90814E-09  1.43612E-08  2.75589E-12  3.59064E-11
  5.800E+00  2.55965E-03  1.52732E-09  1.40453E-08  1.89576E-12  3.57704E-11
  5.900E+00  2.64859E-03  1.16552E-09  1.37338E-08  1.05033E-12  3.56183E-11
  6.000E+00  2.73905E-03  8.21894E-10  1.34266E-08  2.19836E-13  3.54507E-11
  6.100E+00  2.83103E-03  4.95619E-10  1.31237E-08 -5.95513E-13  3.52682E-11
  6.200E+00  2.92452E-03  1.85913E-10  1.28253E-08 -1.39556E-12  3.50713E-11
  6.300E+00  3.01952E-03 -1.07973E-10  1.25312E-08 -2.18017E-12  3.48606E-11
  6.400E+00  3.11604E-03 -3.86753E-10  1.22415E-08 -2.94927E-12  3.46367E-11
  6.500E+00  3.21407E-03 -6.51109E-10  1.19563E-08 -3.70280E-12  3.44001E-11
  6.600E+00  3.31362E-03 -9.01694E-10  1.16754E-08 -4.44073E-12  3.41513E-11
